"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1901987","regulation of cell cycle phase transition",388,-0.706172295169332,-2.59854331019602,0.0166666666666667,0.0701841359773371,0.0413746831668406,1402,"tags=36%, list=11%, signal=33%","1032/57646/5591/51692/27339/9088/7175/54623/26060/55904/9184/596/51776/1027/55755/79621/25959/6603/149420/6419/23376/57805/6597/29117/83695/8883/6602/10459/11331/29997/9183/80198/55193/8899/51143/84126/6929/55920/4869/6599/7027/6598/5889/675/4436/22976/988/9656/54962/84142/91607/11073/163786/86/7517/84444/5087/25896/54908/55159/8193/7465/90381/1869/80174/5569/27085/55835/348654/6240/55055/29980/6909/3619/9735/994/1017/146956/3014/6491/8317/144455/9700/5933/113130/580/1763/6241/9319/672/2146/83990/10926/8914/5888/993/220134/9928/83903/983/11130/6790/26271/4085/4998/11065/81620/79968/9134/51514/81610/990/641/891/147841/2177/699/701/63967/332/221150/995/8318/1063/7272/54443/55143/5347/79915/1031/1062/10403/57405/9787/57082/83540/9212/991"
"GO:1901990","regulation of mitotic cell cycle phase transition",300,-0.721299815396956,-2.59261935933202,0.0175438596491228,0.0701841359773371,0.0413746831668406,1262,"tags=34%, list=10%, signal=31%","26060/55904/9184/596/51776/1027/55755/79621/25959/6603/149420/6597/29117/8883/6602/10459/11331/29997/9183/55193/8899/51143/6929/55920/6599/7027/6598/5889/84142/91607/11073/163786/86/7517/5087/54908/55159/8193/7465/90381/1869/80174/5569/27085/55835/348654/6240/55055/29980/3619/9735/994/1017/6491/8317/144455/9700/5933/113130/580/6241/9319/672/2146/993/220134/9928/83903/983/11130/6790/26271/4085/4998/11065/9134/51514/990/641/891/147841/699/701/63967/332/221150/995/1063/7272/54443/55143/5347/79915/1031/1062/10403/57405/9787/57082/83540/9212/991"
"GO:1901988","negative regulation of cell cycle phase transition",232,-0.732080257347385,-2.58832367164454,0.0181818181818182,0.0701841359773371,0.0413746831668406,1589,"tags=43%, list=12%, signal=38%","5932/5810/406948/9675/4361/5925/54984/9555/1032/57646/5591/27339/9088/7175/9184/596/51776/55755/79621/25959/149420/6419/23376/57805/29117/83695/8883/10459/29997/9183/80198/8899/51143/84126/675/4436/988/9656/54962/84142/91607/11073/7517/84444/25896/54908/55159/7465/90381/1869/348654/55055/29980/3619/9735/1017/146956/3014/144455/5933/580/1763/9319/672/2146/83990/8914/5888/220134/83903/983/11130/26271/4085/4998/81620/79968/51514/990/641/891/147841/2177/699/701/63967/332/221150/8318/1063/7272/55143/5347/10403/57405/57082/83540/9212/991"
"GO:0007093","mitotic cell cycle checkpoint signaling",128,-0.797349061121313,-2.58584036870231,0.0181818181818182,0.0701841359773371,0.0413746831668406,539,"tags=41%, list=4%, signal=40%","8883/10459/29997/9183/80198/8899/51143/4436/9656/54962/84142/11073/7517/54908/55159/90381/348654/55055/29980/3619/9735/1017/146956/580/9319/672/220134/83903/983/11130/4085/4998/51514/990/641/891/147841/2177/699/701/63967/332/221150/1063/7272/55143/5347/10403/57405/57082/83540/9212/991"
"GO:0033045","regulation of sister chromatid segregation",101,-0.849521989618136,-2.57755088877566,0.0175438596491228,0.0701841359773371,0.0413746831668406,994,"tags=49%, list=8%, signal=45%","6597/29117/6602/10459/996/9183/55193/8899/51143/6599/3192/6598/86/7517/54908/8193/348654/55055/3619/9735/9700/9319/220134/83903/983/11130/26271/4085/11065/990/891/10460/147841/699/701/332/221150/1063/7272/55143/5347/1062/10403/57405/9787/57082/83540/9212/991"
"GO:0010948","negative regulation of cell cycle process",269,-0.717666663497496,-2.57488551168686,0.0192307692307692,0.0701841359773371,0.0413746831668406,544,"tags=37%, list=4%, signal=36%","1032/57646/5591/27339/9088/7175/8467/9184/596/51776/55755/79621/25959/149420/6419/23376/57805/29117/83695/8883/10459/29997/9183/80198/8899/51143/84126/4869/675/4436/988/9656/54962/84142/91607/11073/10432/7517/84444/25896/54908/55159/7465/90381/1869/27085/348654/55055/29980/3619/9735/1017/146956/3014/899/144455/9700/5933/580/1763/9319/672/2146/83990/8914/5888/220134/83903/983/11130/26271/4085/4998/81620/79968/51514/990/641/891/147841/2177/699/701/63967/332/221150/8318/1063/7272/55143/5347/79733/4751/10403/57405/57082/83540/9212/991"
"GO:0140013","meiotic nuclear division",127,-0.80054200125369,-2.56042466928663,0.0161290322580645,0.0701841359773371,0.0413746831668406,559,"tags=34%, list=4%, signal=33%","5889/675/84930/4603/55706/57697/63979/1164/3619/994/29781/146956/80010/10635/25788/9700/9319/29893/83990/5888/220134/81930/11130/6790/26271/9133/9134/10051/9232/2177/259266/2175/221150/151648/7272/7153/8438/5347/23397/10403/57082/83540/991"
"GO:0007051","spindle organization",190,-0.781315966687731,-2.55039688413951,0.0169491525423729,0.0701841359773371,0.0413746831668406,1476,"tags=46%, list=11%, signal=42%","26065/29901/6188/79643/27229/8086/54801/8480/7175/729440/10735/126731/54930/10426/55726/10726/28989/5116/55142/10910/9793/56647/4292/83541/3837/348235/7283/3192/10274/79598/203068/84142/440145/23636/55125/163786/1104/23354/9126/8243/115106/79187/79441/7430/55835/3619/84722/90417/79000/93323/64946/6491/9700/79866/9493/29127/220134/284403/6790/26271/9133/29899/9055/29128/22974/891/3832/10460/259266/56992/332/221150/7272/10615/55143/5347/4751/1062/3925/10403/4605/57405/9787/24137/3833/83540/9212/991"
"GO:0051321","meiotic cell cycle",194,-0.770419931427034,-2.54828497232442,0.0169491525423729,0.0701841359773371,0.0413746831668406,922,"tags=34%, list=7%, signal=32%","56339/4292/996/9183/80198/7155/6117/348235/7283/5889/675/84930/4603/55706/57697/2956/23310/9126/8243/63979/1164/3619/1909/994/1017/29781/9918/146956/80010/10635/3014/25788/9700/7516/9319/29893/83990/5888/993/220134/81930/11130/151246/6790/26271/9133/9134/10051/9232/2177/259266/2175/221150/995/151648/7272/7153/8438/5347/23397/4751/10403/57082/83540/9156/991"
"GO:0007346","regulation of mitotic cell cycle",429,-0.694980157487476,-2.54022906211929,0.0181818181818182,0.0701841359773371,0.0413746831668406,1326,"tags=31%, list=10%, signal=29%","1977/9088/7175/3280/26060/55904/9184/596/51776/1027/55755/79621/25959/55726/6603/149420/6419/10950/7531/6597/29117/8883/6602/10459/11331/996/29997/9183/80198/55193/8899/51143/6929/55920/10419/26574/5292/6599/3192/7027/6119/6598/5889/675/4436/84930/9656/54962/84142/91607/23636/11073/163786/86/7517/5087/1104/54908/55159/8193/7465/90381/1869/80174/5569/27085/55835/348654/6240/55055/29980/1164/3619/9735/1163/994/1017/146956/6491/8317/144455/9700/5933/113130/580/6241/9319/672/2146/79866/993/220134/9928/9585/83903/983/11130/6790/26271/4085/4998/11065/51053/9134/51514/990/641/891/147841/2177/699/701/63967/157313/332/221150/995/1063/7272/54443/55143/5347/4288/79915/4751/1031/1062/10403/57405/9787/57082/83540/9212/991"
